condition	benchmark	data_lang	instr_lang	n_seeds	mean	std	min	max
condition-2-ur-5k	belebele	en	en	3	+1.7950	0.2318	+1.6100	+2.0550
condition-2-ur-5k	belebele	es	en	3	+3.5550	0.3391	+3.3300	+3.9450
condition-2-ur-5k	belebele	ur	en	3	+2.4100	0.5939	+1.7250	+2.7800
condition-2-ur-5k	belebele	zh	en	3	+2.1100	0.3112	+1.8300	+2.4450
condition-2-ur-5k	belebele	ALL	ur	3	+5.9125	0.8091	+5.0000	+6.5425
condition-2-ur-5k	belebele	en	ur	3	+6.0733	0.2768	+5.7800	+6.3300
condition-2-ur-5k	belebele	es	ur	3	+7.3533	1.1259	+6.0550	+8.0600
condition-2-ur-5k	belebele	ur	ur	3	+4.0733	1.8639	+2.0000	+5.6100
condition-2-ur-5k	belebele	zh	ur	3	+6.1500	0.0304	+6.1150	+6.1700
condition-2-ur-5k	csqa	ALL	en	3	+0.1833	0.1383	+0.0375	+0.3125
condition-2-ur-5k	csqa	en	en	3	+0.4667	0.2021	+0.3500	+0.7000
condition-2-ur-5k	csqa	es	en	3	+1.4833	0.5859	+1.0500	+2.1500
condition-2-ur-5k	csqa	ur	en	3	-2.5500	0.3464	-2.7500	-2.1500
condition-2-ur-5k	csqa	zh	en	3	+1.3333	0.2021	+1.1500	+1.5500
condition-2-ur-5k	csqa	ALL	ur	3	+0.8792	0.7452	+0.1625	+1.6500
condition-2-ur-5k	csqa	en	ur	3	+2.0833	0.5795	+1.7000	+2.7500
condition-2-ur-5k	csqa	es	ur	3	+1.6500	0.4822	+1.1000	+2.0000
condition-2-ur-5k	csqa	ur	ur	3	-2.2667	1.5631	-3.7000	-0.6000
condition-2-ur-5k	csqa	zh	ur	3	+2.0500	0.5268	+1.5500	+2.6000
condition-2-ur-5k	sib200	ALL	en	3	-2.7154	0.7899	-3.3687	-1.8375
condition-2-ur-5k	sib200	en	en	3	-0.5717	0.6166	-1.2250	+0.0000
condition-2-ur-5k	sib200	es	en	3	-3.5933	1.0200	-4.4100	-2.4500
condition-2-ur-5k	sib200	ur	en	3	-3.2667	1.1048	-4.4100	-2.2050
condition-2-ur-5k	sib200	zh	en	3	-3.4300	0.7350	-4.1650	-2.6950
condition-2-ur-5k	sib200	ALL	ur	3	+12.0492	2.3301	+9.4350	+13.9075
condition-2-ur-5k	sib200	en	ur	3	+18.4617	2.5735	+15.9300	+21.0750
condition-2-ur-5k	sib200	es	ur	3	+17.3183	2.8711	+15.1950	+20.5850
condition-2-ur-5k	sib200	ur	ur	3	-8.9883	4.3160	-12.9900	-4.4150
condition-2-ur-5k	sib200	zh	ur	3	+21.4050	1.9826	+19.6050	+23.5300
condition-2-ur-5k	xnli	ALL	en	3	+2.0054	0.5673	+1.5938	+2.6525
condition-2-ur-5k	xnli	en	en	3	+2.7383	0.7181	+1.9250	+3.2850
condition-2-ur-5k	xnli	es	en	3	+3.1067	0.4676	+2.7050	+3.6200
condition-2-ur-5k	xnli	ur	en	3	-0.1517	0.8934	-1.1350	+0.6100
condition-2-ur-5k	xnli	zh	en	3	+2.3283	0.9157	+1.6750	+3.3750
condition-2-ur-5k	xnli	ALL	ur	3	+3.5046	0.8938	+2.7200	+4.4775
condition-2-ur-5k	xnli	en	ur	3	+3.8017	0.8451	+2.8550	+4.4800
condition-2-ur-5k	xnli	es	ur	3	+2.5483	1.7082	+1.5150	+4.5200
condition-2-ur-5k	xnli	ur	ur	3	+2.3433	0.9333	+1.3100	+3.1250
condition-2-ur-5k	xnli	zh	ur	3	+5.3250	0.9338	+4.4600	+6.3150
