condition	seed	template	data_lang	instr_lang	n	accuracy	top_pred	top_pred_count	top_pred_share	top_raw	top_raw_count	top_raw_share	correct_count	correct_via_constant_pred_count	correct_via_constant_pred_pct	correct_via_constant_raw_count	correct_via_constant_raw_pct
condition-5-zh-5k	seed42	1	ur	en	204	0.5588	science/technology	124	0.6078	science/technology	101	0.4951	114	49	0.4298	49	0.4298
condition-5-zh-5k	seed42	1	ur	zh	204	0.3186	science/technology	188	0.9216	科学和技术	102	0.5000	65	51	0.7846	11	0.1692
condition-5-zh-5k	seed42	1	zh	en	204	0.6422	science/technology	112	0.5490	科学/技术	68	0.3333	131	51	0.3893	18	0.1374
condition-5-zh-5k	seed42	1	zh	zh	204	0.5343	science/technology	143	0.7010	科学/技术	120	0.5882	109	51	0.4679	32	0.2936
condition-5-zh-5k	seed42	2	en	en	204	0.7010	science/technology	92	0.4510	Science/Technology	92	0.4510	143	50	0.3497	50	0.3497
condition-5-zh-5k	seed42	2	en	zh	204	0.5049	science/technology	138	0.6765	科学/技术	138	0.6765	103	51	0.4951	51	0.4951
condition-5-zh-5k	seed42	2	es	en	204	0.6618	science/technology	94	0.4608	Science/Technology	93	0.4559	135	50	0.3704	49	0.3630
condition-5-zh-5k	seed42	2	es	zh	204	0.4559	science/technology	158	0.7745	科学/技术	157	0.7696	93	51	0.5484	51	0.5484
condition-5-zh-5k	seed42	2	ur	en	204	0.6078	science/technology	82	0.4020	science/technology	77	0.3775	124	47	0.3790	47	0.3790
condition-5-zh-5k	seed42	2	ur	zh	204	0.3039	science/technology	188	0.9216	科学和技术	104	0.5098	62	51	0.8226	17	0.2742
condition-5-zh-5k	seed42	2	zh	en	204	0.7010	science/technology	89	0.4363	科学/技术	52	0.2549	143	49	0.3427	19	0.1329
condition-5-zh-5k	seed42	2	zh	zh	204	0.5392	science/technology	136	0.6667	科学/技术	136	0.6667	110	51	0.4636	51	0.4636
