condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	baseline_pf_orig	cond_pf_orig	baseline_pf_rep	cond_pf_rep
condition-1-en-20k	42	2	sib200	en	ur	0.2696	0.2647	-0.0049	0.3971	0.4559	+0.0588	0.3873	0.4363	0.3039	0.2059
condition-1-en-20k	42	2	sib200	en	zh	0.6275	0.6078	-0.0196	0.6520	0.6373	-0.0147	0.0539	0.0441	0.0098	0.0098
condition-1-en-20k	42	2	sib200	es	en	0.6765	0.6422	-0.0343	0.6765	0.6422	-0.0343	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	sib200	es	es	0.3725	0.3480	-0.0245	0.5147	0.4608	-0.0539	0.1716	0.1225	0.0000	0.0000
condition-1-en-20k	42	2	sib200	es	ur	0.0980	0.0294	-0.0686	0.3088	0.4118	+0.1029	0.6569	0.8284	0.4510	0.2745
condition-1-en-20k	42	2	sib200	es	zh	0.4755	0.4902	+0.0147	0.5931	0.5833	-0.0098	0.1716	0.1520	0.0147	0.0098
condition-1-en-20k	42	2	sib200	ur	en	0.6814	0.6471	-0.0343	0.6814	0.6471	-0.0343	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	sib200	ur	es	0.3725	0.3578	-0.0147	0.6127	0.5196	-0.0931	0.3186	0.2157	0.0147	0.0147
condition-1-en-20k	42	2	sib200	ur	ur	0.2059	0.2059	+0.0000	0.5294	0.5637	+0.0343	0.5735	0.5637	0.1275	0.0882
condition-1-en-20k	42	2	sib200	ur	zh	0.5343	0.5049	-0.0294	0.5343	0.5049	-0.0294	0.0147	0.0049	0.0098	0.0098
condition-1-en-20k	42	2	sib200	zh	en	0.6961	0.6324	-0.0637	0.6961	0.6324	-0.0637	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	sib200	zh	es	0.3725	0.3725	+0.0000	0.5588	0.5196	-0.0392	0.2402	0.1765	0.0098	0.0049
condition-1-en-20k	42	2	sib200	zh	ur	0.0931	0.0686	-0.0245	0.3971	0.4951	+0.0980	0.7598	0.8529	0.4020	0.2059
condition-1-en-20k	42	2	sib200	zh	zh	0.4853	0.4853	+0.0000	0.6225	0.6176	-0.0049	0.2206	0.1863	0.0245	0.0245
condition-1-en-20k	42	2	xnli	en	en	0.3786	0.3447	-0.0339	0.3786	0.3447	-0.0339	0.0004	0.0004	0.0004	0.0004
condition-1-en-20k	42	2	xnli	en	es	0.3806	0.3752	-0.0054	0.3806	0.3752	-0.0054	0.0034	0.0010	0.0034	0.0010
condition-1-en-20k	42	2	xnli	en	ur	0.2277	0.2154	-0.0124	0.2589	0.2493	-0.0096	0.4289	0.4641	0.3337	0.3677
condition-1-en-20k	42	2	xnli	en	zh	0.2405	0.1749	-0.0657	0.3337	0.3271	-0.0066	0.3212	0.5176	0.1477	0.2289
condition-1-en-20k	42	2	xnli	es	en	0.3661	0.3441	-0.0220	0.3661	0.3441	-0.0220	0.0086	0.0048	0.0086	0.0048
condition-1-en-20k	42	2	xnli	es	es	0.3770	0.3607	-0.0164	0.3770	0.3607	-0.0164	0.0102	0.0012	0.0102	0.0012
condition-1-en-20k	42	2	xnli	es	ur	0.3271	0.3076	-0.0196	0.3319	0.3140	-0.0180	0.1367	0.1770	0.1220	0.1573
condition-1-en-20k	42	2	xnli	es	zh	0.1128	0.0886	-0.0242	0.2369	0.2715	+0.0345	0.7014	0.7649	0.4603	0.4020
condition-1-en-20k	42	2	xnli	ur	en	0.3357	0.3325	-0.0032	0.3357	0.3325	-0.0032	0.0130	0.0060	0.0130	0.0060
condition-1-en-20k	42	2	xnli	ur	es	0.2499	0.3697	+0.1198	0.2499	0.3697	+0.1198	0.3930	0.0066	0.3930	0.0066
condition-1-en-20k	42	2	xnli	ur	ur	0.2990	0.2898	-0.0092	0.3228	0.3248	+0.0020	0.1337	0.1425	0.0655	0.0435
condition-1-en-20k	42	2	xnli	ur	zh	0.2014	0.2495	+0.0481	0.2078	0.2629	+0.0551	0.3856	0.2369	0.3699	0.2002
condition-1-en-20k	42	2	xnli	zh	en	0.4649	0.4042	-0.0607	0.4649	0.4042	-0.0607	0.0054	0.0022	0.0054	0.0022
condition-1-en-20k	42	2	xnli	zh	es	0.3637	0.3870	+0.0234	0.3637	0.3870	+0.0234	0.0142	0.0060	0.0142	0.0060
condition-1-en-20k	42	2	xnli	zh	ur	0.3323	0.3343	+0.0020	0.3341	0.3363	+0.0022	0.0140	0.0156	0.0082	0.0106
condition-1-en-20k	42	2	xnli	zh	zh	0.0675	0.0673	-0.0002	0.2491	0.2868	+0.0377	0.8253	0.8297	0.4054	0.3267
