condition	target_lang	template	benchmark	data	instr	matched_diagonal	matched_instr	n_seeds	mean_acc	std_acc	min_acc	max_acc	total_count	total_correct
condition-1-en-20k	en	1	xnli	ur	es	n	n	1	0.4060	nan	0.4060	0.4060	5010	2034
condition-1-en-20k	en	1	xnli	ur	ur	y	n	1	0.3403	nan	0.3403	0.3403	5010	1705
condition-1-en-20k	en	1	xnli	ur	zh	n	n	1	0.3333	nan	0.3333	0.3333	5010	1670
condition-1-en-20k	en	1	xnli	zh	en	n	y	1	0.4120	nan	0.4120	0.4120	5010	2064
condition-1-en-20k	en	1	xnli	zh	es	n	n	1	0.3337	nan	0.3337	0.3337	5010	1672
condition-1-en-20k	en	1	xnli	zh	ur	n	n	1	0.3423	nan	0.3423	0.3423	5010	1715
condition-1-en-20k	en	1	xnli	zh	zh	y	n	1	0.3331	nan	0.3331	0.3331	5010	1669
condition-1-en-20k	en	2	belebele	en	en	y	y	1	0.7922	nan	0.7922	0.7922	900	713
condition-1-en-20k	en	2	belebele	en	es	n	n	1	0.7789	nan	0.7789	0.7789	900	701
condition-1-en-20k	en	2	belebele	en	ur	n	n	1	0.7600	nan	0.7600	0.7600	900	684
condition-1-en-20k	en	2	belebele	en	zh	n	n	1	0.7967	nan	0.7967	0.7967	900	717
condition-1-en-20k	en	2	belebele	es	en	n	y	1	0.7189	nan	0.7189	0.7189	900	647
condition-1-en-20k	en	2	belebele	es	es	y	n	1	0.6833	nan	0.6833	0.6833	900	615
condition-1-en-20k	en	2	belebele	es	ur	n	n	1	0.6422	nan	0.6422	0.6422	900	578
condition-1-en-20k	en	2	belebele	es	zh	n	n	1	0.7156	nan	0.7156	0.7156	900	644
condition-1-en-20k	en	2	belebele	ur	en	n	y	1	0.6222	nan	0.6222	0.6222	900	560
condition-1-en-20k	en	2	belebele	ur	es	n	n	1	0.5656	nan	0.5656	0.5656	900	509
condition-1-en-20k	en	2	belebele	ur	ur	y	n	1	0.5156	nan	0.5156	0.5156	900	464
condition-1-en-20k	en	2	belebele	ur	zh	n	n	1	0.6056	nan	0.6056	0.6056	900	545
condition-1-en-20k	en	2	belebele	zh	en	n	y	1	0.7622	nan	0.7622	0.7622	900	686
condition-1-en-20k	en	2	belebele	zh	es	n	n	1	0.7344	nan	0.7344	0.7344	900	661
condition-1-en-20k	en	2	belebele	zh	ur	n	n	1	0.7033	nan	0.7033	0.7033	900	633
condition-1-en-20k	en	2	belebele	zh	zh	y	n	1	0.7633	nan	0.7633	0.7633	900	687
condition-1-en-20k	en	2	csqa	en	en	y	y	1	0.6160	nan	0.6160	0.6160	1000	616
condition-1-en-20k	en	2	csqa	en	es	n	n	1	0.6210	nan	0.6210	0.6210	1000	621
condition-1-en-20k	en	2	csqa	en	ur	n	n	1	0.5820	nan	0.5820	0.5820	1000	582
condition-1-en-20k	en	2	csqa	en	zh	n	n	1	0.6340	nan	0.6340	0.6340	1000	634
condition-1-en-20k	en	2	csqa	es	en	n	y	1	0.5270	nan	0.5270	0.5270	1000	527
condition-1-en-20k	en	2	csqa	es	es	y	n	1	0.5350	nan	0.5350	0.5350	1000	535
condition-1-en-20k	en	2	csqa	es	ur	n	n	1	0.4830	nan	0.4830	0.4830	1000	483
condition-1-en-20k	en	2	csqa	es	zh	n	n	1	0.5350	nan	0.5350	0.5350	1000	535
condition-1-en-20k	en	2	csqa	ur	en	n	y	1	0.4210	nan	0.4210	0.4210	1000	421
condition-1-en-20k	en	2	csqa	ur	es	n	n	1	0.3920	nan	0.3920	0.3920	1000	392
condition-1-en-20k	en	2	csqa	ur	ur	y	n	1	0.4000	nan	0.4000	0.4000	1000	400
condition-1-en-20k	en	2	csqa	ur	zh	n	n	1	0.4080	nan	0.4080	0.4080	1000	408
condition-1-en-20k	en	2	csqa	zh	en	n	y	1	0.5410	nan	0.5410	0.5410	1000	541
condition-1-en-20k	en	2	csqa	zh	es	n	n	1	0.5040	nan	0.5040	0.5040	1000	504
condition-1-en-20k	en	2	csqa	zh	ur	n	n	1	0.4750	nan	0.4750	0.4750	1000	475
condition-1-en-20k	en	2	csqa	zh	zh	y	n	1	0.5370	nan	0.5370	0.5370	1000	537
condition-1-en-20k	en	2	sib200	en	en	y	y	1	0.6863	nan	0.6863	0.6863	204	140
condition-1-en-20k	en	2	sib200	en	es	n	n	1	0.4657	nan	0.4657	0.4657	204	95
condition-1-en-20k	en	2	sib200	en	ur	n	n	1	0.4559	nan	0.4559	0.4559	204	93
condition-1-en-20k	en	2	sib200	en	zh	n	n	1	0.6373	nan	0.6373	0.6373	204	130
condition-1-en-20k	en	2	sib200	es	en	n	y	1	0.6422	nan	0.6422	0.6422	204	131
condition-1-en-20k	en	2	sib200	es	es	y	n	1	0.4608	nan	0.4608	0.4608	204	94
condition-1-en-20k	en	2	sib200	es	ur	n	n	1	0.4118	nan	0.4118	0.4118	204	84
condition-1-en-20k	en	2	sib200	es	zh	n	n	1	0.5833	nan	0.5833	0.5833	204	119
condition-1-en-20k	en	2	sib200	ur	en	n	y	1	0.6471	nan	0.6471	0.6471	204	132
condition-1-en-20k	en	2	sib200	ur	es	n	n	1	0.5196	nan	0.5196	0.5196	204	106
condition-1-en-20k	en	2	sib200	ur	ur	y	n	1	0.5637	nan	0.5637	0.5637	204	115
condition-1-en-20k	en	2	sib200	ur	zh	n	n	1	0.5049	nan	0.5049	0.5049	204	103
condition-1-en-20k	en	2	sib200	zh	en	n	y	1	0.6324	nan	0.6324	0.6324	204	129
condition-1-en-20k	en	2	sib200	zh	es	n	n	1	0.5196	nan	0.5196	0.5196	204	106
condition-1-en-20k	en	2	sib200	zh	ur	n	n	1	0.4951	nan	0.4951	0.4951	204	101
condition-1-en-20k	en	2	sib200	zh	zh	y	n	1	0.6176	nan	0.6176	0.6176	204	126
condition-1-en-20k	en	2	xnli	en	en	y	y	1	0.3447	nan	0.3447	0.3447	5010	1727
condition-1-en-20k	en	2	xnli	en	es	n	n	1	0.3752	nan	0.3752	0.3752	5010	1880
condition-1-en-20k	en	2	xnli	en	ur	n	n	1	0.2493	nan	0.2493	0.2493	5010	1249
condition-1-en-20k	en	2	xnli	en	zh	n	n	1	0.3271	nan	0.3271	0.3271	5010	1639
condition-1-en-20k	en	2	xnli	es	en	n	y	1	0.3441	nan	0.3441	0.3441	5010	1724
condition-1-en-20k	en	2	xnli	es	es	y	n	1	0.3607	nan	0.3607	0.3607	5010	1807
condition-1-en-20k	en	2	xnli	es	ur	n	n	1	0.3140	nan	0.3140	0.3140	5010	1573
condition-1-en-20k	en	2	xnli	es	zh	n	n	1	0.2715	nan	0.2715	0.2715	5010	1360
condition-1-en-20k	en	2	xnli	ur	en	n	y	1	0.3325	nan	0.3325	0.3325	5010	1666
condition-1-en-20k	en	2	xnli	ur	es	n	n	1	0.3697	nan	0.3697	0.3697	5010	1852
condition-1-en-20k	en	2	xnli	ur	ur	y	n	1	0.3248	nan	0.3248	0.3248	5010	1627
condition-1-en-20k	en	2	xnli	ur	zh	n	n	1	0.2629	nan	0.2629	0.2629	5010	1317
condition-1-en-20k	en	2	xnli	zh	en	n	y	1	0.4042	nan	0.4042	0.4042	5010	2025
condition-1-en-20k	en	2	xnli	zh	es	n	n	1	0.3870	nan	0.3870	0.3870	5010	1939
condition-1-en-20k	en	2	xnli	zh	ur	n	n	1	0.3363	nan	0.3363	0.3363	5010	1685
condition-1-en-20k	en	2	xnli	zh	zh	y	n	1	0.2868	nan	0.2868	0.2868	5010	1437
condition-1-en-5k	en	1	belebele	en	en	y	y	3	0.7781	0.0017	0.7767	0.7800	2700	2101
condition-1-en-5k	en	1	belebele	en	es	n	n	3	0.7604	0.0017	0.7589	0.7622	2700	2053
condition-1-en-5k	en	1	belebele	en	ur	n	n	3	0.7548	0.0053	0.7489	0.7589	2700	2038
condition-1-en-5k	en	1	belebele	en	zh	n	n	3	0.7885	0.0006	0.7878	0.7889	2700	2129
condition-1-en-5k	en	1	belebele	es	en	n	y	3	0.7000	0.0033	0.6967	0.7033	2700	1890
condition-1-en-5k	en	1	belebele	es	es	y	n	3	0.6719	0.0026	0.6689	0.6733	2700	1814
condition-1-en-5k	en	1	belebele	es	ur	n	n	3	0.6422	0.0059	0.6356	0.6467	2700	1734
condition-1-en-5k	en	1	belebele	es	zh	n	n	3	0.6937	0.0017	0.6922	0.6956	2700	1873
condition-1-en-5k	en	1	belebele	ur	en	n	y	3	0.6130	0.0039	0.6089	0.6167	2700	1655
condition-1-en-5k	en	1	belebele	ur	es	n	n	3	0.5356	0.0091	0.5278	0.5456	2700	1446
condition-1-en-5k	en	1	belebele	ur	ur	y	n	3	0.5367	0.0069	0.5289	0.5422	2700	1449
condition-1-en-5k	en	1	belebele	ur	zh	n	n	3	0.5996	0.0017	0.5978	0.6011	2700	1619
condition-1-en-5k	en	1	belebele	zh	en	n	y	3	0.7596	0.0061	0.7533	0.7656	2700	2051
condition-1-en-5k	en	1	belebele	zh	es	n	n	3	0.7044	0.0029	0.7011	0.7067	2700	1902
condition-1-en-5k	en	1	belebele	zh	ur	n	n	3	0.7144	0.0011	0.7133	0.7156	2700	1929
condition-1-en-5k	en	1	belebele	zh	zh	y	n	3	0.7752	0.0017	0.7733	0.7767	2700	2093
condition-1-en-5k	en	1	csqa	en	en	y	y	3	0.6120	0.0010	0.6110	0.6130	3000	1836
condition-1-en-5k	en	1	csqa	en	es	n	n	3	0.6117	0.0064	0.6070	0.6190	3000	1835
condition-1-en-5k	en	1	csqa	en	ur	n	n	3	0.5920	0.0000	0.5920	0.5920	3000	1776
condition-1-en-5k	en	1	csqa	en	zh	n	n	3	0.6447	0.0042	0.6400	0.6480	3000	1934
condition-1-en-5k	en	1	csqa	es	en	n	y	3	0.5303	0.0081	0.5230	0.5390	3000	1591
condition-1-en-5k	en	1	csqa	es	es	y	n	3	0.5333	0.0095	0.5260	0.5440	3000	1600
