target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	1	sib200	zh	ur	n	condition-1-en-20k	20k	n	0.5294	1
en	1	sib200	zh	zh	y	baseline		n	0.6667	1
en	1	sib200	zh	zh	y	condition-1-en-5k	5k	n	0.6650	3
en	1	sib200	zh	zh	y	condition-1-en-20k	20k	n	0.6471	1
en	1	xnli	en	en	y	baseline		n	0.4998	1
en	1	xnli	en	en	y	condition-1-en-5k	5k	y	0.5226	3
en	1	xnli	en	en	y	condition-1-en-20k	20k	y	0.5166	1
en	1	xnli	en	es	n	baseline		n	0.3980	1
en	1	xnli	en	es	n	condition-1-en-5k	5k	n	0.4161	3
en	1	xnli	en	es	n	condition-1-en-20k	20k	n	0.4457	1
en	1	xnli	en	ur	n	baseline		n	0.3816	1
en	1	xnli	en	ur	n	condition-1-en-5k	5k	n	0.4253	3
en	1	xnli	en	ur	n	condition-1-en-20k	20k	n	0.4677	1
en	1	xnli	en	zh	n	baseline		n	0.3333	1
en	1	xnli	en	zh	n	condition-1-en-5k	5k	n	0.3340	3
en	1	xnli	en	zh	n	condition-1-en-20k	20k	n	0.3329	1
en	1	xnli	es	en	n	baseline		n	0.4525	1
en	1	xnli	es	en	n	condition-1-en-5k	5k	y	0.4687	3
en	1	xnli	es	en	n	condition-1-en-20k	20k	y	0.4677	1
en	1	xnli	es	es	y	baseline		n	0.4547	1
en	1	xnli	es	es	y	condition-1-en-5k	5k	n	0.4623	3
en	1	xnli	es	es	y	condition-1-en-20k	20k	n	0.4758	1
en	1	xnli	es	ur	n	baseline		n	0.3433	1
en	1	xnli	es	ur	n	condition-1-en-5k	5k	n	0.3516	3
en	1	xnli	es	ur	n	condition-1-en-20k	20k	n	0.3752	1
en	1	xnli	es	zh	n	baseline		n	0.3337	1
en	1	xnli	es	zh	n	condition-1-en-5k	5k	n	0.3343	3
en	1	xnli	es	zh	n	condition-1-en-20k	20k	n	0.3337	1
en	1	xnli	ur	en	n	baseline		n	0.4343	1
en	1	xnli	ur	en	n	condition-1-en-5k	5k	y	0.4375	3
en	1	xnli	ur	en	n	condition-1-en-20k	20k	y	0.4379	1
en	1	xnli	ur	es	n	baseline		n	0.3727	1
en	1	xnli	ur	es	n	condition-1-en-5k	5k	n	0.3844	3
en	1	xnli	ur	es	n	condition-1-en-20k	20k	n	0.4060	1
en	1	xnli	ur	ur	y	baseline		n	0.3327	1
en	1	xnli	ur	ur	y	condition-1-en-5k	5k	n	0.3336	3
en	1	xnli	ur	ur	y	condition-1-en-20k	20k	n	0.3403	1
en	1	xnli	ur	zh	n	baseline		n	0.3311	1
en	1	xnli	ur	zh	n	condition-1-en-5k	5k	n	0.3331	3
en	1	xnli	ur	zh	n	condition-1-en-20k	20k	n	0.3333	1
en	1	xnli	zh	en	n	baseline		n	0.3906	1
en	1	xnli	zh	en	n	condition-1-en-5k	5k	y	0.4034	3
en	1	xnli	zh	en	n	condition-1-en-20k	20k	y	0.4120	1
en	1	xnli	zh	es	n	baseline		n	0.3333	1
en	1	xnli	zh	es	n	condition-1-en-5k	5k	n	0.3333	3
en	1	xnli	zh	es	n	condition-1-en-20k	20k	n	0.3337	1
en	1	xnli	zh	ur	n	baseline		n	0.3345	1
en	1	xnli	zh	ur	n	condition-1-en-5k	5k	n	0.3373	3
en	1	xnli	zh	ur	n	condition-1-en-20k	20k	n	0.3423	1
en	1	xnli	zh	zh	y	baseline		n	0.3329	1
en	1	xnli	zh	zh	y	condition-1-en-5k	5k	n	0.3349	3
en	1	xnli	zh	zh	y	condition-1-en-20k	20k	n	0.3331	1
en	2	belebele	en	en	y	baseline		n	0.7822	1
en	2	belebele	en	en	y	condition-1-en-5k	5k	y	0.7870	3
en	2	belebele	en	en	y	condition-1-en-20k	20k	y	0.7922	1
en	2	belebele	en	es	n	baseline		n	0.7756	1
en	2	belebele	en	es	n	condition-1-en-5k	5k	n	0.7830	3
en	2	belebele	en	es	n	condition-1-en-20k	20k	n	0.7789	1
