condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
condition-1-en-20k	42	csqa	ur	zh	n	n	0.3960	0.4080	+0.0120	1000	1000	396	408
condition-1-en-20k	42	csqa	zh	en	y	n	0.5490	0.5410	-0.0080	1000	1000	549	541
condition-1-en-20k	42	csqa	zh	es	n	n	0.5110	0.5040	-0.0070	1000	1000	511	504
condition-1-en-20k	42	csqa	zh	ur	n	n	0.4830	0.4750	-0.0080	1000	1000	483	475
condition-1-en-20k	42	csqa	zh	zh	n	y	0.5360	0.5370	+0.0010	1000	1000	536	537
condition-1-en-20k	42	sib200	en	en	y	y	0.7549	0.6863	-0.0686	204	204	154	140
condition-1-en-20k	42	sib200	en	es	n	n	0.6176	0.4657	-0.1520	204	204	126	95
condition-1-en-20k	42	sib200	en	ur	n	n	0.4951	0.4559	-0.0392	204	204	101	93
condition-1-en-20k	42	sib200	en	zh	n	n	0.6961	0.6373	-0.0588	204	204	142	130
condition-1-en-20k	42	sib200	es	en	y	n	0.7745	0.6422	-0.1324	204	204	158	131
condition-1-en-20k	42	sib200	es	es	n	y	0.6029	0.4608	-0.1422	204	204	123	94
condition-1-en-20k	42	sib200	es	ur	n	n	0.5147	0.4118	-0.1029	204	204	105	84
condition-1-en-20k	42	sib200	es	zh	n	n	0.6225	0.5833	-0.0392	204	204	127	119
condition-1-en-20k	42	sib200	ur	en	y	n	0.6863	0.6471	-0.0392	204	204	140	132
condition-1-en-20k	42	sib200	ur	es	n	n	0.5000	0.5196	+0.0196	204	204	102	106
condition-1-en-20k	42	sib200	ur	ur	n	y	0.5686	0.5637	-0.0049	204	204	116	115
condition-1-en-20k	42	sib200	ur	zh	n	n	0.5245	0.5049	-0.0196	204	204	107	103
condition-1-en-20k	42	sib200	zh	en	y	n	0.7647	0.6324	-0.1324	204	204	156	129
condition-1-en-20k	42	sib200	zh	es	n	n	0.5490	0.5196	-0.0294	204	204	112	106
condition-1-en-20k	42	sib200	zh	ur	n	n	0.5294	0.4951	-0.0343	204	204	108	101
condition-1-en-20k	42	sib200	zh	zh	n	y	0.6471	0.6176	-0.0294	204	204	132	126
condition-1-en-20k	42	xnli	en	en	y	y	0.5166	0.3447	-0.1719	5010	5010	2588	1727
condition-1-en-20k	42	xnli	en	es	n	n	0.4457	0.3752	-0.0705	5010	5010	2233	1880
condition-1-en-20k	42	xnli	en	ur	n	n	0.4677	0.2493	-0.2184	5010	5010	2343	1249
condition-1-en-20k	42	xnli	en	zh	n	n	0.3329	0.3271	-0.0058	5010	5010	1668	1639
condition-1-en-20k	42	xnli	es	en	y	n	0.4677	0.3441	-0.1236	5010	5010	2343	1724
condition-1-en-20k	42	xnli	es	es	n	y	0.4758	0.3607	-0.1152	5010	5010	2384	1807
condition-1-en-20k	42	xnli	es	ur	n	n	0.3752	0.3140	-0.0613	5010	5010	1880	1573
condition-1-en-20k	42	xnli	es	zh	n	n	0.3337	0.2715	-0.0623	5010	5010	1672	1360
condition-1-en-20k	42	xnli	ur	en	y	n	0.4379	0.3325	-0.1054	5010	5010	2194	1666
condition-1-en-20k	42	xnli	ur	es	n	n	0.4060	0.3697	-0.0363	5010	5010	2034	1852
