target_lang	family	template	benchmark	data	instr	matched_instr	matched_diagonal	acc_5k_mean	n_seeds_5k	acc_20k_mean	n_seeds_20k	delta_20k_minus_5k
ur	condition-2-ur	2	belebele	en	ur	y	n	0.8096	3	0.7844	1	-0.0252
ur	condition-2-ur	2	belebele	es	en	n	n	0.7393	3	0.7300	1	-0.0093
ur	condition-2-ur	2	belebele	es	ur	y	n	0.7078	3	0.6889	1	-0.0189
ur	condition-2-ur	2	belebele	ur	en	n	n	0.6381	3	0.6056	1	-0.0326
ur	condition-2-ur	2	belebele	ur	ur	y	y	0.5704	3	0.4844	1	-0.0859
ur	condition-2-ur	2	belebele	zh	en	n	n	0.7770	3	0.7744	1	-0.0026
ur	condition-2-ur	2	belebele	zh	ur	y	n	0.7641	3	0.7467	1	-0.0174
ur	condition-2-ur	2	csqa	en	en	n	y	0.6130	3	0.6080	1	-0.0050
ur	condition-2-ur	2	csqa	en	ur	y	n	0.6080	3	0.6120	1	+0.0040
ur	condition-2-ur	2	csqa	es	en	n	n	0.5313	3	0.5420	1	+0.0107
ur	condition-2-ur	2	csqa	es	ur	y	n	0.4970	3	0.5020	1	+0.0050
ur	condition-2-ur	2	csqa	ur	en	n	n	0.3870	3	0.3430	1	-0.0440
ur	condition-2-ur	2	csqa	ur	ur	y	y	0.3843	3	0.3520	1	-0.0323
ur	condition-2-ur	2	csqa	zh	en	n	n	0.5430	3	0.5270	1	-0.0160
ur	condition-2-ur	2	csqa	zh	ur	y	n	0.4997	3	0.5070	1	+0.0073
ur	condition-2-ur	2	sib200	en	en	n	y	0.6912	3	0.6912	1	+0.0000
ur	condition-2-ur	2	sib200	en	ur	y	n	0.6895	3	0.7157	1	+0.0261
ur	condition-2-ur	2	sib200	es	en	n	n	0.6601	3	0.6520	1	-0.0082
ur	condition-2-ur	2	sib200	es	ur	y	n	0.6503	3	0.6127	1	-0.0376
ur	condition-2-ur	2	sib200	ur	en	n	n	0.6650	3	0.5980	1	-0.0670
ur	condition-2-ur	2	sib200	ur	ur	y	y	0.5000	3	0.3382	1	-0.1618
ur	condition-2-ur	2	sib200	zh	en	n	n	0.6814	3	0.6520	1	-0.0294
ur	condition-2-ur	2	sib200	zh	ur	y	n	0.6765	3	0.6176	1	-0.0588
ur	condition-2-ur	2	xnli	en	en	n	y	0.4053	3	0.3615	1	-0.0438
ur	condition-2-ur	2	xnli	en	ur	y	n	0.3615	3	0.3415	1	-0.0200
ur	condition-2-ur	2	xnli	es	en	n	n	0.4070	3	0.3687	1	-0.0383
ur	condition-2-ur	2	xnli	es	ur	y	n	0.3810	3	0.3812	1	+0.0002
ur	condition-2-ur	2	xnli	ur	en	n	n	0.3450	3	0.3363	1	-0.0087
ur	condition-2-ur	2	xnli	ur	ur	y	y	0.3658	3	0.3910	1	+0.0252
ur	condition-2-ur	2	xnli	zh	en	n	n	0.4703	3	0.4577	1	-0.0126
ur	condition-2-ur	2	xnli	zh	ur	y	n	0.4409	3	0.4501	1	+0.0092
zh	condition-2-zh	1	belebele	en	en	n	y	0.7796	3	0.7889	1	+0.0093
zh	condition-2-zh	1	belebele	en	zh	y	n	0.8007	3	0.7978	1	-0.0030
zh	condition-2-zh	1	belebele	es	en	n	n	0.7048	3	0.6978	1	-0.0070
zh	condition-2-zh	1	belebele	es	zh	y	n	0.7333	3	0.7144	1	-0.0189
zh	condition-2-zh	1	belebele	ur	en	n	n	0.6167	3	0.6156	1	-0.0011
zh	condition-2-zh	1	belebele	ur	zh	y	n	0.6215	3	0.6278	1	+0.0063
zh	condition-2-zh	1	belebele	zh	en	n	n	0.7659	3	0.7700	1	+0.0041
zh	condition-2-zh	1	belebele	zh	zh	y	y	0.7807	3	0.7722	1	-0.0085
zh	condition-2-zh	1	csqa	en	en	n	y	0.6027	3	0.6160	1	+0.0133
zh	condition-2-zh	1	csqa	en	zh	y	n	0.6440	3	0.6460	1	+0.0020
zh	condition-2-zh	1	csqa	es	en	n	n	0.5223	3	0.5290	1	+0.0067
zh	condition-2-zh	1	csqa	es	zh	y	n	0.5670	3	0.5710	1	+0.0040
zh	condition-2-zh	1	csqa	ur	en	n	n	0.4197	3	0.4250	1	+0.0053
zh	condition-2-zh	1	csqa	ur	zh	y	n	0.4287	3	0.4360	1	+0.0073
zh	condition-2-zh	1	csqa	zh	en	n	n	0.5433	3	0.5520	1	+0.0087
zh	condition-2-zh	1	csqa	zh	zh	y	y	0.5503	3	0.5410	1	-0.0093
zh	condition-2-zh	1	sib200	en	en	n	y	0.7647	3	0.7451	1	-0.0196
zh	condition-2-zh	1	sib200	en	zh	y	n	0.7092	3	0.6667	1	-0.0425
zh	condition-2-zh	1	sib200	es	en	n	n	0.7712	3	0.7549	1	-0.0163
zh	condition-2-zh	1	sib200	es	zh	y	n	0.6814	3	0.6520	1	-0.0294
zh	condition-2-zh	1	sib200	ur	en	n	n	0.7124	3	0.6863	1	-0.0261
zh	condition-2-zh	1	sib200	ur	zh	y	n	0.6389	3	0.5931	1	-0.0458
zh	condition-2-zh	1	sib200	zh	en	n	n	0.7582	3	0.7598	1	+0.0016
zh	condition-2-zh	1	sib200	zh	zh	y	y	0.6895	3	0.6471	1	-0.0425
zh	condition-2-zh	1	xnli	en	en	n	y	0.5124	3	0.5301	1	+0.0177
zh	condition-2-zh	1	xnli	en	zh	y	n	0.3329	3	0.3333	1	+0.0005
zh	condition-2-zh	1	xnli	es	en	n	n	0.4524	3	0.4754	1	+0.0231
zh	condition-2-zh	1	xnli	es	zh	y	n	0.3332	3	0.3333	1	+0.0001
zh	condition-2-zh	1	xnli	ur	en	n	n	0.4465	3	0.4565	1	+0.0100
zh	condition-2-zh	1	xnli	ur	zh	y	n	0.3346	3	0.3335	1	-0.0011
zh	condition-2-zh	1	xnli	zh	en	n	n	0.4078	3	0.4126	1	+0.0048
zh	condition-2-zh	1	xnli	zh	zh	y	y	0.3350	3	0.3331	1	-0.0019
zh	condition-2-zh	2	belebele	en	en	n	y	0.7870	3	0.7933	1	+0.0063
zh	condition-2-zh	2	belebele	en	zh	y	n	0.8119	3	0.8022	1	-0.0096
zh	condition-2-zh	2	belebele	es	en	n	n	0.7204	3	0.7233	1	+0.0030
zh	condition-2-zh	2	belebele	es	zh	y	n	0.7396	3	0.7200	1	-0.0196
zh	condition-2-zh	2	belebele	ur	en	n	n	0.6259	3	0.6256	1	-0.0004
zh	condition-2-zh	2	belebele	ur	zh	y	n	0.6370	3	0.6267	1	-0.0104
zh	condition-2-zh	2	belebele	zh	en	n	n	0.7781	3	0.7767	1	-0.0015
zh	condition-2-zh	2	belebele	zh	zh	y	y	0.7856	3	0.7767	1	-0.0089
zh	condition-2-zh	2	csqa	en	en	n	y	0.6110	3	0.6070	1	-0.0040
zh	condition-2-zh	2	csqa	en	zh	y	n	0.6310	3	0.6330	1	+0.0020
zh	condition-2-zh	2	csqa	es	en	n	n	0.5270	3	0.5280	1	+0.0010
