condition	benchmark	n_cells	mean_baseline_orig	mean_cond_orig	mean_delta_orig	mean_baseline_rep	mean_cond_rep	mean_delta_rep	n_wins_orig	n_losses_orig	n_wins_rep	n_losses_rep	n_flip_win_to_loss	n_flip_loss_to_win
condition-2-ur-20k	sib200	16	0.4681	0.6069	+0.1388	0.5990	0.5689	-0.0300	9	6	4	12	5	0
condition-2-ur-20k	xnli	16	0.3688	0.4070	+0.0382	0.3727	0.4070	+0.0344	14	2	14	2	0	0
condition-2-ur-5k	belebele	48	0.6807	0.7226	+0.0419	0.6807	0.7226	+0.0419	48	0	48	0	0	0
condition-2-ur-5k	csqa	48	0.5021	0.5074	+0.0053	0.5021	0.5074	+0.0053	37	11	37	11	0	0
condition-2-ur-5k	sib200	48	0.4681	0.6734	+0.2053	0.5990	0.6456	+0.0467	27	21	20	28	7	0
condition-2-ur-5k	xnli	48	0.3688	0.4002	+0.0314	0.3727	0.4002	+0.0275	36	11	36	11	0	0
condition-2-zh-20k	belebele	16	0.7129	0.7268	+0.0139	0.7129	0.7268	+0.0139	15	1	15	1	0	0
condition-2-zh-20k	csqa	16	0.5229	0.5343	+0.0114	0.5229	0.5343	+0.0114	15	0	15	0	0	0
condition-2-zh-20k	sib200	16	0.6483	0.6657	+0.0175	0.6759	0.6685	-0.0074	7	9	5	10	1	0
condition-2-zh-20k	xnli	16	0.3297	0.3794	+0.0496	0.3551	0.3799	+0.0248	10	5	10	5	0	0
condition-2-zh-5k	belebele	48	0.7129	0.7306	+0.0176	0.7129	0.7306	+0.0176	48	0	48	0	0	0
condition-2-zh-5k	csqa	48	0.5229	0.5297	+0.0068	0.5229	0.5297	+0.0068	26	20	26	20	0	0
condition-2-zh-5k	sib200	48	0.6483	0.6838	+0.0355	0.6759	0.6830	+0.0071	28	20	26	19	0	0
condition-2-zh-5k	xnli	48	0.3297	0.3736	+0.0438	0.3551	0.3752	+0.0201	32	16	31	17	1	0
condition-3-zh-5k	belebele	16	0.7129	0.7250	+0.0121	0.7129	0.7250	+0.0121	15	0	15	0	0	0
condition-3-zh-5k	csqa	16	0.5229	0.5328	+0.0099	0.5229	0.5328	+0.0099	12	3	12	3	0	0
condition-3-zh-5k	sib200	16	0.6483	0.6685	+0.0202	0.6759	0.6642	-0.0116	7	9	5	11	2	0
condition-3-zh-5k	xnli	16	0.3297	0.3851	+0.0554	0.3551	0.3853	+0.0303	12	3	11	4	1	0
condition-5-es-5k	belebele	16	0.6944	0.7013	+0.0068	0.6944	0.7013	+0.0068	12	4	12	4	0	0
condition-5-es-5k	csqa	16	0.5162	0.5010	-0.0153	0.5162	0.5010	-0.0153	0	16	0	16	0	0
condition-5-es-5k	sib200	16	0.6155	0.4292	-0.1863	0.6559	0.5362	-0.1198	0	16	0	15	0	0
condition-5-es-5k	xnli	16	0.3908	0.3851	-0.0057	0.3908	0.3851	-0.0057	8	8	8	8	0	0
condition-5-ur-5k	belebele	16	0.6807	0.6999	+0.0192	0.6807	0.6999	+0.0192	15	1	15	1	0	0
condition-5-ur-5k	csqa	16	0.5021	0.4575	-0.0446	0.5021	0.4575	-0.0446	0	16	0	16	0	0
condition-5-ur-5k	sib200	16	0.4681	0.4023	-0.0659	0.5990	0.5855	-0.0135	3	13	4	12	2	3
condition-5-ur-5k	xnli	16	0.3688	0.3740	+0.0052	0.3727	0.3740	+0.0014	7	9	7	9	0	0
