condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
baseline	none	2	sib200	zh	en	None	0.6961	0.6961	+0.0000	0.0000	0.0000	+0.0000
baseline	none	2	sib200	zh	es	None	0.3725	0.5588	+0.1863	0.2402	0.0098	-0.2304
baseline	none	2	sib200	zh	ur	None	0.0931	0.3971	+0.3039	0.7598	0.4020	-0.3578
baseline	none	2	sib200	zh	zh	None	0.4853	0.6225	+0.1373	0.2206	0.0245	-0.1961
baseline	none	2	xnli	en	en	None	0.3786	0.3786	+0.0000	0.0004	0.0004	+0.0000
baseline	none	2	xnli	en	es	None	0.3806	0.3806	+0.0000	0.0034	0.0034	+0.0000
baseline	none	2	xnli	en	ur	None	0.2277	0.2589	+0.0311	0.4289	0.3337	-0.0952
baseline	none	2	xnli	en	zh	None	0.2405	0.3337	+0.0932	0.3212	0.1477	-0.1735
baseline	none	2	xnli	es	en	None	0.3661	0.3661	+0.0000	0.0086	0.0086	+0.0000
baseline	none	2	xnli	es	es	None	0.3770	0.3770	+0.0000	0.0102	0.0102	+0.0000
baseline	none	2	xnli	es	ur	None	0.3271	0.3319	+0.0048	0.1367	0.1220	-0.0148
baseline	none	2	xnli	es	zh	None	0.1128	0.2369	+0.1242	0.7014	0.4603	-0.2411
baseline	none	2	xnli	ur	en	None	0.3357	0.3357	+0.0000	0.0130	0.0130	+0.0000
baseline	none	2	xnli	ur	es	None	0.2499	0.2499	+0.0000	0.3930	0.3930	+0.0000
baseline	none	2	xnli	ur	ur	None	0.2990	0.3228	+0.0238	0.1337	0.0655	-0.0683
baseline	none	2	xnli	ur	zh	None	0.2014	0.2078	+0.0064	0.3856	0.3699	-0.0158
baseline	none	2	xnli	zh	en	None	0.4649	0.4649	+0.0000	0.0054	0.0054	+0.0000
baseline	none	2	xnli	zh	es	None	0.3637	0.3637	+0.0000	0.0142	0.0142	+0.0000
baseline	none	2	xnli	zh	ur	None	0.3323	0.3341	+0.0018	0.0140	0.0082	-0.0058
baseline	none	2	xnli	zh	zh	None	0.0675	0.2491	+0.1816	0.8253	0.4054	-0.4200
condition-1-en-20k	42	1	belebele	en	en	None	0.7767	0.7767	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	en	es	None	0.7611	0.7611	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	en	ur	None	0.7611	0.7611	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	en	zh	None	0.7900	0.7900	+0.0000	0.0000	0.0000	+0.0000
