condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	123	1	belebele	zh	en	n	n	0.7500	0.7596	0.7522	+0.0022	+0.0096	-0.0074
condition-2-es-5k	es	123	1	belebele	zh	es	n	y	0.7033	0.7044	0.7167	+0.0133	+0.0011	+0.0122
condition-2-es-5k	es	123	1	csqa	en	en	y	n	0.6070	0.6120	0.6030	-0.0040	+0.0050	-0.0090
condition-2-es-5k	es	123	1	csqa	en	es	n	y	0.6040	0.6117	0.6050	+0.0010	+0.0077	-0.0067
condition-2-es-5k	es	123	1	csqa	es	en	n	n	0.5240	0.5303	0.5260	+0.0020	+0.0063	-0.0043
condition-2-es-5k	es	123	1	csqa	es	es	y	y	0.5290	0.5333	0.5340	+0.0050	+0.0043	+0.0007
condition-2-es-5k	es	123	1	csqa	ur	en	n	n	0.4240	0.4237	0.4070	-0.0170	-0.0003	-0.0167
condition-2-es-5k	es	123	1	csqa	ur	es	n	y	0.3960	0.3970	0.4040	+0.0080	+0.0010	+0.0070
condition-2-es-5k	es	123	1	csqa	zh	en	n	n	0.5450	0.5527	0.5440	-0.0010	+0.0077	-0.0087
condition-2-es-5k	es	123	1	csqa	zh	es	n	y	0.5000	0.5067	0.5060	+0.0060	+0.0067	-0.0007
condition-2-es-5k	es	123	1	sib200	en	en	y	n	0.7549	0.7533	0.7647	+0.0098	-0.0016	+0.0114
condition-2-es-5k	es	123	1	sib200	en	es	n	y	0.6618	0.6487	0.6716	+0.0098	-0.0131	+0.0229
condition-2-es-5k	es	123	1	sib200	es	en	n	n	0.7745	0.7582	0.7549	-0.0196	-0.0163	-0.0033
condition-2-es-5k	es	123	1	sib200	es	es	y	y	0.6520	0.6389	0.6422	-0.0098	-0.0131	+0.0033
condition-2-es-5k	es	123	1	sib200	ur	en	n	n	0.7255	0.6895	0.6961	-0.0294	-0.0359	+0.0065
condition-2-es-5k	es	123	1	sib200	ur	es	n	y	0.5343	0.5180	0.5441	+0.0098	-0.0163	+0.0261
condition-2-es-5k	es	123	1	sib200	zh	en	n	n	0.7892	0.7500	0.7696	-0.0196	-0.0392	+0.0196
condition-2-es-5k	es	123	1	sib200	zh	es	n	y	0.5882	0.5735	0.6422	+0.0539	-0.0147	+0.0686
